Date,Revenue,Expenses,Tax Income,Debt,GDP Contribution,Currency
01-04-2024,$58.12,124.9 MXN,76.22 pesos,676.47 MEX$,3.21%,MEX$
2024/04/02,$165.87,146.08 MXN,26.1 pesos,572.56 MEX$,1.68%,MXN
2024/04/03,$139.21,92.97 MXN,18.14 pesos,567.89 MEX$,2.2%,MEX$
2024/04/04,$96.28,71.06 MXN,59.79 pesos,816.00 MEX$,3.39%,pesoss
2024/04/05,$135.07,64.96 MXN,47.29 pesos,805.54 MEX$,3.66%,pesoss
2024/04/06,$173.04,37.88 MXN,22.03 pesos,801.23 MEX$,3.82%,mex
07-04-2024,$80.97,41.09 MXN,79.83 pesos,779.00 MEX$,1.77%,MEX$
08-04-2024,$63.20,83.21 MXN,73.25 pesos,827.16 MEX$,2.05%,MXN
2024/04/09,$51.25,90.77 MXN,46.2 pesos,839.57 MEX$,2.86%,Pesos
2024/04/10,$168.92,104.57 MXN,56.09 pesos,903.29 MEX$,2.3%,MEX$
11-04-2024,$143.04,46.73 MXN,74.41 pesos,858.68 MEX$,1.89%,MEX$
12-04-2024,$121.02,105.01 MXN,60.81 pesos,913.38 MEX$,3.94%,mxn
2024/04/13,$173.82,117.12 MXN,72.7 pesos,638.46 MEX$,1.62%,MEX$
2024/04/14,$166.38,76.85 MXN,19.64 pesos,927.43 MEX$,2.72%,pesoss
2024/04/15,$129.98,107.33 MXN,62.81 pesos,744.88 MEX$,3.27%,MEX$
2024/04/16,$56.87,44.2 MXN,32.74 pesos,784.09 MEX$,2.3%,mxn
17-04-2024,$188.57,134.64 MXN,14.39 pesos,844.25 MEX$,3.73%,pesoss
18-04-2024,$52.75,43.89 MXN,44.7 pesos,811.16 MEX$,2.73%,pesoss
19-04-2024,$100.10,51.52 MXN,23.75 pesos,903.59 MEX$,2.58%,mxn
20-04-2024,$187.33,56.04 MXN,50.24 pesos,725.44 MEX$,2.93%,Pesos
2024/04/21,$111.67,119.68 MXN,12.52 pesos,556.36 MEX$,3.28%,MXN
22-04-2024,$168.23,108.14 MXN,44.56 pesos,869.47 MEX$,3.65%,Pesos
23-04-2024,$89.29,124.16 MXN,27.87 pesos,615.06 MEX$,2.05%,Pesos
2024/04/24,$181.71,142.0 MXN,72.01 pesos,929.36 MEX$,2.22%,mex
25-04-2024,$195.81,54.57 MXN,40.6 pesos,706.60 MEX$,3.95%,mxn
2024/04/26,$79.81,139.69 MXN,63.78 pesos,655.07 MEX$,1.78%,mex
2024/04/27,$165.25,117.77 MXN,66.82 pesos,882.61 MEX$,2.94%,MEX$
28-04-2024,$190.85,127.74 MXN,26.38 pesos,560.10 MEX$,2.47%,mxn
2024/04/29,$167.06,74.69 MXN,65.11 pesos,853.55 MEX$,3.61%,pesoss
30-04-2024,$102.69,110.0 MXN,37.29 pesos,871.67 MEX$,2.14%,mxn
01-05-2024,$139.09,63.22 MXN,37.4 pesos,503.41 MEX$,1.75%,mex
2024/05/02,$155.30,89.65 MXN,12.14 pesos,941.60 MEX$,1.71%,MXN
2024/05/03,$194.14,134.62 MXN,10.2 pesos,733.41 MEX$,1.9%,MXN
04-05-2024,$121.98,63.37 MXN,34.17 pesos,937.49 MEX$,3.53%,MXN
05-05-2024,$69.31,40.37 MXN,55.67 pesos,976.44 MEX$,3.69%,Pesos
06-05-2024,$105.71,83.56 MXN,11.68 pesos,931.75 MEX$,1.68%,mex
07-05-2024,$156.41,130.85 MXN,58.59 pesos,995.30 MEX$,1.51%,mxn
2024/05/08,$62.46,43.76 MXN,63.93 pesos,822.76 MEX$,1.64%,mex
2024/05/09,$143.43,111.45 MXN,71.87 pesos,834.42 MEX$,3.75%,mex
10-05-2024,$162.23,60.5 MXN,69.37 pesos,796.73 MEX$,1.66%,mex
